2019-04-22 16:32:06 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:34:18 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='http://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:35:07 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:39:32 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:41:00 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:49:15 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:55:08 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:55:37 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:56:35 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:56:52 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:58:17 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=true}
2019-04-22 16:58:57 [main] [gka.pay.wxpay.WXPayRequest.request] UnknownHostException for domainInfo DomainInfo{domain='https://api.mch.weixin.qq.com', primaryDomain=false}
